Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004,2,12,4,633,635,935,930,"B6",165,"N553JB",182,175,162,5,-2,"JFK","TPA",1005,3,17,0,,0,0,0,0,0,0
2004,2,16,1,2115,2120,2340,2350,"B6",199,"N570JB",325,330,114,-10,-5,"JFK","LAS",2248,8,23,0,,0,0,0,0,0,0
2004,2,18,3,700,700,817,820,"B6",2,"N544JB",77,80,49,-3,0,"JFK","BUF",301,2,26,0,,0,0,0,0,0,0
2004,2,19,4,1140,1145,1427,1420,"B6",67,"N570JB",167,155,141,7,-5,"RSW","JFK",1074,7,19,0,,0,0,0,0,0,0
2004,2,21,6,936,935,1036,1035,"B6",68,"N544JB",60,60,41,1,1,"JFK","SYR",209,3,16,0,,0,0,0,0,0,0
2004,2,24,2,1117,1120,1922,1930,"B6",206,"N548JB",305,310,468,-8,-3,"LGB","JFK",2465,7,10,0,,0,0,0,0,0,0
2004,2,28,6,2029,2030,2209,2214,"CO",780,"N17644",100,104,83,-5,-1,"IAH","MCI",643,4,13,0,,0,0,0,0,0,0
2004,2,16,1,1155,1155,1309,1256,"CO",683,"N36247",74,61,41,13,0,"IAH","MSY",305,5,28,0,,0,0,0,0,0,0
2004,2,20,5,1459,1500,1608,1615,"CO",1707,"N35260",129,135,108,-7,-1,"TPA","IAH",787,7,14,0,,0,0,0,0,0,0
2004,2,21,6,734,740,911,926,"CO",191,"N14325",157,166,135,-15,-6,"MIA","IAH",964,5,17,0,,0,0,0,0,0,0
2004,2,5,4,1521,1530,1837,1838,"CO",65,"N67158",376,368,326,-1,-9,"EWR","LAX",2454,13,37,0,,0,0,0,0,0,0
2004,2,27,5,1544,1535,1852,1837,"CO",1601,"N75851",188,182,156,15,9,"EWR","FLL",1065,8,24,0,,0,9,0,6,0,0
2004,2,16,1,1340,1345,1701,1611,"CO",1161,"N14605",201,146,142,50,-5,"EWR","ATL",745,10,49,0,,0,0,0,50,0,0
2004,2,10,2,1740,1740,2028,1953,"CO",1122,"N27213",288,253,216,35,0,"IAH","SFO",1635,9,63,0,,0,0,0,35,0,0
2004,2,13,5,1049,1100,1318,1347,"CO",1719,"N14653",149,167,128,-29,-11,"TPA","EWR",998,7,14,0,,0,0,0,0,0,0
2004,2,17,2,1319,1325,1757,1807,"CO",482,"N24729",218,222,182,-10,-6,"IAH","BOS",1597,6,30,0,,0,0,0,0,0,0
2004,2,25,3,1827,1700,2231,2019,"CO",348,"N14102",424,379,361,132,87,"EWR","SFO",2565,7,56,0,,0,0,25,45,0,62
2004,2,24,2,754,800,940,928,"CO",1144,"N14601",166,148,135,12,-6,"EWR","MDW",711,3,28,0,,0,0,0,0,0,0
2004,2,4,3,1803,1735,2125,1947,"CO",1498,"N16339",202,132,98,98,28,"IAH","OMA",781,4,100,0,,0,3,0,70,0,25
